Entity Name,Fiscal Year,Total Revenues,Estimated Population,Revenues Per Capita,Total Expenditures,Expenditures Per Capita,Net Per Capita,Population Tier
Alpine,2024,30191475,1179,25608,27326942,23178,2430,Small (under 50K)
Trinity,2024,95504892,15915,6001,83960643,5276,725,Small (under 50K)
Del Norte,2024,115988068,26345,4403,98317911,3732,671,Small (under 50K)
Inyo,2024,128281342,18856,6803,115890795,6146,657,Small (under 50K)
Calaveras,2024,187146424,44842,4173,163584784,3648,525,Small (under 50K)
Plumas,2024,102547970,18841,5443,93161452,4945,498,Small (under 50K)
Sierra,2024,41888864,3171,13210,40367735,12730,480,Small (under 50K)
Amador,2024,144198400,39611,3640,125814417,3176,464,Small (under 50K)
San Mateo,2024,3053110425,741565,4117,2739777856,3695,422,Large (250K+)
Contra Costa,2024,5970212101,1146626,5207,5549211078,4840,367,Large (250K+)
San Bernardino,2024,7279105691,2181433,3337,6529897911,2993,344,Large (250K+)
Marin,2024,1017756793,252844,4025,938068853,3710,315,Large (250K+)
Madera,2024,488865239,159328,3068,440087506,2762,306,Medium (50K-250K)
Alameda,2024,4742901769,1641869,2889,4244700272,2585,304,Large (250K+)
Kern,2024,2965900257,910300,3258,2711087245,2978,280,Large (250K+)
Modoc,2024,44912565,8484,5294,42578362,5019,275,Small (under 50K)
Butte,2024,657810470,205928,3194,604671332,2936,258,Medium (50K-250K)
El Dorado,2024,629861635,188583,3340,586097683,3108,232,Medium (50K-250K)
Sonoma,2024,1677405425,478152,3508,1569097870,3282,226,Large (250K+)
San Joaquin,2024,2508227357,791408,3169,2333165385,2948,221,Large (250K+)
Mono,2024,100366254,12861,7804,97606498,7589,215,Small (under 50K)
Ventura,2024,3174363315,823863,3853,3010778369,3654,199,Large (250K+)
Siskiyou,2024,171861965,43409,3959,163325345,3762,197,Small (under 50K)
Nevada,2024,301751273,100177,3012,283322727,2828,184,Medium (50K-250K)
Los Angeles,2024,39321998810,9824091,4003,37577235037,3825,178,Large (250K+)
Placer,2024,1122750523,412844,2720,1059242991,2566,154,Large (250K+)
San Luis Obispo,2024,976043080,278469,3505,935180478,3358,147,Large (250K+)
Shasta,2024,545954181,179195,3047,521946172,2913,134,Medium (50K-250K)
Santa Barbara,2024,1522379813,443623,3432,1464511047,3301,131,Large (250K+)
Monterey,2024,1731367065,437614,3956,1681600630,3843,113,Large (250K+)
Lassen,2024,87201216,28197,3093,84166374,2985,108,Small (under 50K)
Fresno,2024,2739998180,1017431,2693,2636081403,2591,102,Large (250K+)
Tulare,2024,1365518715,478918,2851,1316787306,2750,101,Large (250K+)
Lake,2024,252232990,67001,3765,245636175,3666,99,Medium (50K-250K)
Sacramento,2024,4959920862,1578938,3141,4808346528,3045,96,Large (250K+)
Solano,2024,1128333594,446426,2527,1087646199,2436,91,Large (250K+)
Orange,2024,6661069681,3150835,2114,6424119390,2039,75,Large (250K+)
Mariposa,2024,118812133,16966,7003,117670055,6936,67,Small (under 50K)
Tuolumne,2024,239573170,54407,4403,236143507,4340,63,Medium (50K-250K)
Yolo,2024,621757567,221666,2805,608595393,2746,59,Medium (50K-250K)
Imperial,2024,595141023,182881,3254,586066750,3205,49,Medium (50K-250K)
Stanislaus,2024,1427912802,548744,2602,1401372428,2554,48,Large (250K+)
Santa Cruz,2024,1061044650,262572,4041,1048647525,3994,47,Large (250K+)
San Diego,2024,7624775340,3291101,2317,7476987270,2272,45,Large (250K+)
San Benito,2024,184989255,65853,2809,182102047,2765,44,Medium (50K-250K)
Colusa,2024,92900505,21743,4273,92032288,4233,40,Small (under 50K)
Sutter,2024,284195621,100110,2839,280534571,2802,37,Medium (50K-250K)
Riverside,2024,7643028210,2442378,3129,7576821683,3102,27,Large (250K+)
Mendocino,2024,393042686,89476,4393,392867138,4391,2,Medium (50K-250K)
Humboldt,2024,560558396,133100,4212,560985605,4215,-3,Medium (50K-250K)
Merced,2024,824650923,287303,2870,834846656,2906,-36,Large (250K+)
Yuba,2024,308783502,83721,3688,313630201,3746,-58,Medium (50K-250K)
Glenn,2024,144447979,28736,5027,146179910,5087,-60,Small (under 50K)
Kings,2024,407835296,152627,2672,431292670,2826,-154,Medium (50K-250K)
Santa Clara,2024,10400753921,1903198,5465,10722903297,5634,-169,Large (250K+)
Napa,2024,589049278,135029,4362,616676926,4567,-205,Medium (50K-250K)
Tehama,2024,210559574,64308,3274,226233444,3518,-244,Medium (50K-250K)
